Country,Count
USA,5181
Germany,965
United Kingdom,860
France,847
Italy,536
Japan,507
Switzerland,297
The Netherlands,274
Russia,262
Austria,239
Canada,189
Brazil,167
Spain,157
Argentina,142
Mexico,135
Poland,131
Sweden,128
Denmark,121
China,101
Belgian,96
Czech Republic,78
Israel,75
Chile,70
South Africa,67
Cuba,64
Finland,62
Venezuela,62
Australia,55
Columbia,54
Hungary,53
Norway,49
India,39
Peru,39
Croatia,34
Korea,31
Ireland,24
Uruguay,23
Scotland,20
Turkey,20
Romania,19
Haiti,17
Slovenia,17
New Zealand,16
Serbia,16
Ukraine,13
Iceland,12
Egypt,11
Greece,11
Iran,11
Portugal,10
Lebanon,9
Slovakia,8
Guatemala,7
Puerto Rico,7
Bosnia,6
Congo,6
Georgia,6
Morocco,6
Nigeria,6
Bulgaria,5
Taiwan,5
Vietnam,5
Zimbabwe,5
Ecuador,4
Macedonia,4
Pakistan,4
Palestine,4
Albania,3
Algeria,3
Bolivia,3
Canadian,3
Estonia,3
Ghana,3
Italian,3
Latvia,3
Lithuania,3
Luxembourg,3
Philippines,3
United Kingdom,3
Azerbaijan,2
Cameroon,2
Costa Rica,2
Ethiopia,2
Iraq,2
Kyrgyzstan,2
Malaysia,2
Namibia,2
Nicaragua,2
Panama,2
Paraguay,2
Salvador,2
Senegal,2
Singapore,2
Sudan,2
Thailand,2
Tunisia,2
United Arab Emirates,2
Afghanistan,1
Bangladesh,1
Benin,1
Burkina Faso,1
Cambodia,1
Ivory Coast,1
Kenya,1
Kuwait,1
Mozambique,1
Persia,1
Sierra Leone,1
Spain,1
Sudan,1
Tanzania,1
The Bahamas,1
Uganda,1
Yugoslavia,1
