Movie,ReleaseYear,Actor,LastName,ActorYoB,ActorAge,BondGirl,BondGirlActor,BondGirlYoB,BondGirlAge,BondLabel
(spacer),1961,,,,31,,,,,
Dr. No,1962,Sean Connery,Connery,1930,32,Honey Ryder ,Ursula Andress,1936,26,"&#149&nbsp;&nbsp;Sean Connery &#149; ""Dr. No"""
From Russia with Love,1963,Sean Connery,Connery,1930,33,Sylvia Trench ,Eunice Gayson,1928,35,"&#149&nbsp;&nbsp;Sean Connery &#149; ""From Russia with Love"""
Goldfinger,1964,Sean Connery,Connery,1930,34,Jill Masterson ,Shirley Eaton,1937,27,"&#149&nbsp;&nbsp;Sean Connery &#149; ""Goldfinger"""
Thunderball,1965,Sean Connery,Connery,1930,35,Domino Derval ,Claudine Auger,1941,24,"&#149&nbsp;&nbsp;Sean Connery &#149; ""Thunderball"""
You Only Live Twice,1967,Sean Connery,Connery,1930,37,Kissy Suzuki ,Mie Hama,1943,24,"&#149&nbsp;&nbsp;Sean Connery &#149; ""You Only Live Twice"""
On Her Majesty's Secret Service,1969,George Lazenby,Lazenby,1939,30,Teresa di Vicenzo ,Diana Rigg,1938,31,"&#149&nbsp;&nbsp;Lazenby &#149; ""On Her Mjsty.'s Secret Service"""
Diamonds Are Forever,1971,Sean Connery,Connery,1930,41,Tiffany Case ,Jill St. John,1940,31,"&#149&nbsp;&nbsp;Sean Connery &#149; ""Diamonds Are Forever"""
Live and Let Die,1973,Roger Moore,Moore,1927,46,Solitaire ,Jane Seymour,1951,22,"&#149&nbsp;&nbsp;Roger Moore &#149; ""Live and Let Die"""
The Man with the Golden Gun,1974,Roger Moore,Moore,1927,47,Andrea Anders ,Maud Adams,1945,29,"&#149&nbsp;&nbsp;Roger Moore &#149; ""Man with the Golden Gun"""
The Spy Who Loved Me,1977,Roger Moore,Moore,1927,50,Anya Amasova ,Barbara Bach,1947,30,"&#149&nbsp;&nbsp;Roger Moore &#149; ""Spy Who Loved Me"""
Moonraker,1979,Roger Moore,Moore,1927,52,Holly Goodhead ,Lois Chiles,1947,32,"&#149&nbsp;&nbsp;Roger Moore &#149; ""Moonraker"""
For Your Eyes Only,1981,Roger Moore,Moore,1927,54,Melina Havelock ,Carole Bouquet,1957,24,"&#149&nbsp;&nbsp;Roger Moore &#149; ""For Your Eyes Only"""
Octopussy,1983,Roger Moore,Moore,1927,56,Octopussy ,Maud Adams,1945,38,"&#149&nbsp;&nbsp;Roger Moore &#149; ""Octopussy"""
A View to a Kill,1985,Roger Moore,Moore,1927,58,Stacey Sutton ,Tanya Roberts,1949,36,"&#149&nbsp;&nbsp;Roger Moore &#149; ""A View to a Kill"""
The Living Daylights,1987,Timothy Dalton,Dalton,1946,41,Kara Milovy ,Maryam d'Abo,1960,27,"&#149&nbsp;&nbsp;Timothy Dalton &#149; ""The Living Daylights"""
Licence to Kill,1989,Timothy Dalton,Dalton,1946,43,Pam Bouvier ,Carey Lowell,1961,28,"&#149&nbsp;&nbsp;Timothy Dalton &#149; ""Licence to Kill"""
GoldenEye,1995,Pierce Brosnan,Brosnan,1953,42,Natalya Simonova ,Izabella Scorupco,1970,25,"&#149&nbsp;&nbsp;Pierce Brosnan &#149; ""GoldenEye"""
Tomorrow Never Dies,1997,Pierce Brosnan,Brosnan,1953,44,Wai Lin ,Michelle Yeoh,1962,35,"&#149&nbsp;&nbsp;Pierce Brosnan &#149; ""Tomorrow Never Dies"""
The World Is Not Enough,1999,Pierce Brosnan,Brosnan,1953,46,Elektra King ,Sophie Marceau,1966,33,"&#149&nbsp;&nbsp;Pierce Brosnan &#149; ""The World Is Not Enough"""
Die Another Day,2002,Pierce Brosnan,Brosnan,1953,49,Jinx Johnson ,Halle Berry,1966,36,"&#149&nbsp;&nbsp;Pierce Brosnan &#149; ""Die Another Day"""
Casino Royale,2006,Daniel Craig,Craig,1968,38,Vesper Lynd ,Eva Green,1980,26,"&#149&nbsp;&nbsp;Daniel Craig &#149; ""Casino Royale"""
Quantum of Solace,2008,Daniel Craig,Craig,1968,40,Camille Montes ,Olga Kurylenko,1979,29,"&#149&nbsp;&nbsp;Daniel Craig &#149; ""Quantum of Solace"""
Skyfall,2012,Daniel Craig,Craig,1968,44,Severine ,Bérénice Marlohe,1979,33,"&#149&nbsp;&nbsp;Daniel Craig &#149; ""Skyfall"""
Spectre,2015,Daniel Craig,Craig,1968,47,Madeleine Swann ,Léa Seydoux,1985,30,"&#149&nbsp;&nbsp;Daniel Craig &#149; ""Spectre"""
No Time to Die,2021,Daniel Craig,Craig,1968,53,Madeleine Swann ,Léa Seydoux,1985,36,"&#149&nbsp;&nbsp;Daniel Craig &#149; ""No Time to Die"""
(spacer),2022,,,,54,,,,,
